shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,75,500,-193.43326330404423,404755641
2048,14336,2.0,200,32,8,8,4,10,0.9,1048576,2560,512,100,150,85,500,-199.87199242130592,407270704
6656,17408,2.5,200,8,16,8,10,10,0.9,6291456,512,512,100,150,125,6000,-100.95327275935061,409654833
4096,6990,8.0,200,4,2,4,4,10,0.9,1572864,2560,3584,500,500,95,500,-175.2813195111966,411714885
5120,14336,3.0,400,4,2,4,4,5,0.9,4194304,3584,13824,1000,150,85,3000,-239.43769058373425,414132165
2048,14336,2.0,1,32,16,8,4,10,0.9,2016383,2560,512,100,150,85,500,-206.14313042527579,416750779
6656,17408,2.5,200,8,16,8,10,10,0.9,6291456,512,512,50,300,85,1000,-105.11163821522362,419085766
2048,14336,1.5,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-171.57412441265186,421507663
7168,17408,7.5,300,4,16,8,10,10,0.9,524288,1536,9728,1500,150,75,1000,-236.28328945355747,423896873
1280,9216,1.1,300,16,4,4,10,5,0.9,1572864,13824,6656,50,300,100,3000,-114.05327152729522,426556228
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,1536,512,100,150,85,500,-90.0966471235026,428798574
7680,7168,8,300,4,16,4,10,10,0.9,3145728,1536,10752,1500,150,85,6000,-234.30779064143667,431385823
7680,17408,8.0,200,16,16,8,4,5,0.9,1048576,1536,7680,1000,500,75,500,-226.57499152647296,433970341
4096,30720,0.1,100,32,2,4,4,5,0.9,2016383,3584,7680,500,200,95,1000,-137.5640861961938,436205673
7680,5120,1.0,300,64,2,8,4,5,0.9,8388608,1536,9728,1500,250,115,500,-146.69554768991162,438303403
7168,17408,8,300,4,16,8,4,10,0.9,3145728,2560,10752,1500,150,75,1000,-186.65900005515587,440688781
7680,19456,7.5,300,4,16,4,4,10,0.9,2016383,5632,6656,1000,200,95,1000,-301.750699536694,443229598
7680,8192,0.5,1,8,16,4,4,5,0.9,3145728,4608,2560,1000,500,95,1000,-49.632304543836334,445474484
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8704,1500,150,75,1000,-198.2915592640265,447575197
2048,21504,2.0,400,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-189.5858524972023,449959542
5120,14336,0.1,300,4,1,8,10,5,0.9,1048576,512,512,50,250,85,500,-133.03171653021386,452398244
5120,6990,1.1,1,8,2,4,4,5,0.9,2016383,1024,8192,100,200,100,1000,-130.817029393237,454498659
7168,17408,0.1,400,8,8,8,10,10,0.9,524288,1536,2560,100,500,95,1000,-204.81360703648426,456762147
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,4608,512,100,150,85,500,-281.59480186426555,459237394
7680,12288,1.1,400,32,1,4,10,5,0.9,2016383,512,9728,1000,150,75,6000,-86.2632847465446,461355103
2048,46080,6.0,1,4,16,4,10,10,0.9,8388608,8704,1536,1000,250,95,500,-200.23793120403278,463356531
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,1536,100,150,85,500,-280.00690902548837,465694324
4608,14336,0.5,200,4,1,8,10,10,0.9,524288,1024,512,50,150,115,500,-153.91158529027678,467959311
7680,19456,8.0,100,4,16,4,10,5,0.9,2016383,4608,6656,1000,200,95,1000,-125.26659810992776,470007751
3072,21504,0.5,200,4,1,8,4,10,0.9,2016383,1024,512,50,150,100,500,-200.54749582900465,472422455
7680,19456,8.0,100,8,16,4,4,10,0.9,1572864,512,1536,1500,200,95,3000,-158.43653104763672,474976403
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,300,85,500,-140.44161743907094,477092006
6656,14336,4.5,400,4,16,8,4,10,0.9,6291456,2560,2560,100,500,125,1000,-206.03653455913124,479244638
7168,17408,7.0,300,4,16,4,10,10,0.9,524288,1536,10752,1500,150,75,1000,-240.7883170231354,481749715
7680,25600,7.5,400,24,16,8,4,10,0.9,524288,6656,8192,1500,150,75,1000,-196.0832592792224,484027046
7680,25600,7,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-135.06162690362328,485994039
5120,11264,2.5,300,8,1,4,4,10,0.9,3145728,2560,5632,100,200,125,3000,-212.25976945792817,488038569
5120,14336,0.1,400,20,8,8,10,10,0.9,524288,1536,2560,100,150,75,1000,-189.98018297466783,490808088
7680,25600,7.0,400,24,16,8,4,10,0.9,1048576,6656,8192,1500,150,75,1000,-166.09492097112425,493233377
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,50,150,85,1000,-159.19489340097678,495250679
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1000,150,75,1000,-186.65413600839815,497598540
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,3584,512,100,150,85,500,-239.18490348131726,500131840
