shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
2560,10240,3.5,400,16,8,8,10,5,0.9,4194304,14848,10752,2000,150,95,3000,-1079.1832559583481,642128939.0
5120,10240,1.0,200,20,2,4,10,5,0.9,1572864,512,512,500,200,125,8000,-1012.794480885437,644849093.0
896,13312,6.0,100,16,4,8,4,5,0.9,1048576,7680,9728,50,500,100,3000,-996.8919317256189,647471183.0
5120,6144,0.1,1,20,4,8,4,5,0.9,2016383,1024,8704,100,200,125,1000,-1006.0256167414453,650173507.0
2048,25600,0.5,200,32,8,4,10,10,0.9,1572864,512,12800,2000,200,95,3000,-1090.986965926297,653010476.0
4096,27648,2.5,100,20,2,8,4,10,0.9,3145728,11776,9728,500,300,125,500,-1064.2343242089314,655832649.0
6656,6990,0.1,400,24,4,4,10,10,0.9,3145728,1024,8192,1000,250,75,3000,-1044.5163722090092,658563021.0
6656,4096,0.5,400,24,4,4,10,5,0.9,1048576,512,3584,50,150,75,8000,-1065.455275595716,661575984.0
3072,30720,0.5,400,24,1,4,4,10,0.9,2016383,7680,5632,100,500,75,3000,-1012.0762618616453,664520011.0
3584,14336,6.0,100,20,8,8,4,10,0.9,3145728,12800,7680,100,150,95,3000,-1066.7037037363257,667370128.0
3072,27648,0.1,300,64,8,4,4,10,0.9,3145728,512,12800,2000,150,125,1000,-1070.6498870053954,670074002.0
2560,8192,3.0,1,16,1,4,4,10,0.9,3145728,10752,3584,500,200,85,6000,-1068.6569726745029,672784531.0
2560,14336,0.5,200,64,1,8,4,10,0.9,2016383,9728,1536,100,500,75,500,-1048.14179936067,675485722.0
1280,35840,1.0,100,16,16,8,4,5,0.9,3145728,512,15872,2000,150,115,3000,-973.2238552567944,678388518.0
