shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
1024,12288,6.0,1,20,4,4,4,10,0.9,3145728,5632,8192,50,150,75,1000,-926.54076860847,0.1,SUCCESS,1
896,35840,1.5,100,20,4,4,10,5,0.9,1048576,8704,1536,100,500,85,3000,-939.2030552525274,0.1,SUCCESS,1
2048,7168,0.5,100,20,8,8,4,5,0.9,524288,5632,8192,1500,200,125,3000,-1052.4526408772788,0.1,SUCCESS,1
4608,23552,3.0,1,8,4,4,4,5,0.9,1572864,15872,9728,100,200,75,500,-1030.583496797782,0.1,SUCCESS,1
3072,30720,6.5,400,20,16,8,4,10,0.9,3145728,13824,8704,2000,250,95,8000,-993.8519151646252,0.1,SUCCESS,1
1024,10240,3.5,1,24,2,4,4,10,0.9,2016383,12800,12800,500,250,75,1000,-975.2206862886884,0.1,SUCCESS,1
896,46080,4.0,400,20,2,8,4,10,0.9,6291456,6656,4608,1500,150,100,1000,-939.0158526072186,0.1,SUCCESS,1
3584,30720,2.5,100,20,2,4,10,10,0.9,3145728,11776,9728,1000,500,115,8000,-953.7685536470606,0.1,SUCCESS,1
1280,5120,1.0,100,8,8,8,4,10,0.9,524288,512,1536,100,150,75,1000,-950.9747449729092,0.1,SUCCESS,1
4096,6990,1.1,200,8,8,4,4,5,0.9,2016383,1024,8192,100,250,100,1000,-1024.143731640661,0.1,SUCCESS,1
2048,14336,5.0,1,16,8,4,4,10,0.9,8388608,3584,512,1500,200,85,8000,-1012.2081150506532,0.1,SUCCESS,1
4096,6990,1.1,200,8,1,4,4,5,0.9,2016383,512,8192,100,300,100,1000,-1084.633895649588,0.1,SUCCESS,1
1024,10240,2.0,200,4,2,8,4,10,0.9,8388608,4608,9728,2000,300,75,1000,-944.5341779048642,0.1,SUCCESS,1
1536,11264,6.5,1,8,4,8,4,10,0.9,1572864,512,6656,100,500,75,3000,-1010.6014133688196,0.1,SUCCESS,1
2048,25600,4.0,1,24,2,8,4,10,0.9,2016383,5632,512,50,300,115,3000,-994.4621312590004,0.1,SUCCESS,1
1792,7168,3.5,1,64,8,4,4,10,0.9,3145728,6656,10752,2000,300,75,3000,-962.1616546749252,0.1,SUCCESS,1
6656,6990,3.0,400,8,16,4,4,5,0.9,1048576,5632,512,2000,300,125,500,-1026.9024320442695,0.1,SUCCESS,1
4096,10240,1.5,200,20,1,8,4,5,0.9,524288,512,13824,100,300,100,3000,-1032.804291306909,0.1,SUCCESS,1
4096,29696,0.1,200,20,8,8,4,10,0.9,524288,4608,8704,2000,200,95,6000,-885.5049691342484,0.1,SUCCESS,1
2560,6990,0.1,200,20,2,4,10,10,0.9,3145728,3584,512,50,500,75,500,-1021.307833523823,0.1,SUCCESS,1
2560,25600,7.0,400,8,16,8,4,10,0.9,6291456,4608,1536,50,150,95,3000,-967.2313398184326,0.1,SUCCESS,1
2048,30720,4.5,200,16,1,4,4,5,0.9,524288,12800,2560,100,200,125,8000,-961.8640318389648,0.1,SUCCESS,1
2560,29696,1.0,300,20,4,4,4,10,0.9,524288,15872,15872,2000,200,75,1000,-1078.8555788045423,0.1,SUCCESS,1
4096,13312,1.1,100,16,4,4,4,10,0.9,2016383,1536,11776,2000,200,85,500,-1045.4314572876544,0.1,SUCCESS,1
3072,5120,4.0,200,16,1,8,10,5,0.9,3145728,5632,11776,500,300,85,500,-1050.528761082703,0.1,SUCCESS,1
1536,30720,1.0,300,8,4,4,4,5,0.9,524288,8704,8192,500,250,85,1000,-937.7473080288314,0.1,SUCCESS,1
3072,8192,6.0,1,16,2,8,4,5,0.9,1048576,15872,10752,500,250,125,8000,-1021.6910395230952,0.1,SUCCESS,1
2560,30720,1.1,400,64,2,4,4,10,0.9,3145728,11776,14848,1500,250,100,3000,-1037.297884341741,0.1,SUCCESS,1
2048,29696,1.1,1,8,1,8,4,10,0.9,3145728,1536,1536,50,500,115,8000,-1056.5452949921566,0.1,SUCCESS,1
2560,25600,1.5,200,8,16,4,4,10,0.9,3145728,11776,9728,2000,300,75,8000,-1041.3314903623032,0.1,SUCCESS,1
1024,7168,7.5,1,8,16,4,4,5,0.9,524288,13824,15872,50,200,115,1000,-939.3480369235896,0.1,SUCCESS,1
2048,29696,1.1,1,4,8,4,4,10,0.9,1572864,14848,15872,50,250,115,500,-1019.0106777956476,0.1,SUCCESS,1
4096,5120,8.0,400,8,4,4,10,5,0.9,3145728,14848,14848,100,250,75,6000,-1069.5463180516094,0.1,SUCCESS,1
2048,14336,0.5,200,64,2,4,4,10,0.9,4194304,9728,1536,100,500,75,500,-1063.6982843376177,0.1,SUCCESS,1
4608,6990,0.1,1,32,4,4,4,10,0.9,3145728,6656,5632,1500,200,100,8000,-1072.250562152563,0.1,SUCCESS,1
4096,6990,1.1,1,8,2,4,4,5,0.9,2016383,1024,8704,100,200,125,1000,-1104.3676615906595,0.1,SUCCESS,1
