compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,4,42,46,256,2730,2048,heap_buffers,1,60,-1781.0,235615367.0
64,4,42,47,256,3413,2048,heap_buffers,1,60,-810.0,236947305.0
64,4,42,46,256,2730,1706,heap_buffers,1,60,-696.0,238265029.0
32,4,42,46,256,3413,2048,heap_buffers,1,60,-1781.0,239511471.0
64,4,42,46,256,2730,2048,heap_buffers,1,50,-3083.0,240654021.0
64,7,41,60,1024,3754,3413,heap_buffers,1,60,-4505.0,241715990.0
16,5,8,57,256,3754,3413,heap_buffers,16,40,-724.0,243005133.0
64,4,43,46,256,3413,2048,heap_buffers,1,60,-986.0,244294513.0
64,4,42,46,256,2730,2048,offheap_objects,1,60,-558.0,245664323.0
64,7,41,60,1024,4096,3413,heap_buffers,0,80,-1687.0,246871668.0
64,8,39,39,1024,2730,3754,heap_buffers,12,100,-1009.0,248140979.0
16,7,8,12,1024,1024,3072,heap_buffers,16,40,-8274.0,249215479.0
16,6,31,10,1024,1024,3072,heap_buffers,16,10,-795.0,250529506.0
64,7,41,60,1024,4096,3413,heap_buffers,4,60,-3613.0,251716698.0
32,7,8,12,1024,1024,3072,heap_buffers,16,40,-623.0,253042744.0
64,7,8,18,256,1706,2048,heap_buffers,16,0,-1539.0,254230181.0
32,7,41,60,1024,3754,3413,heap_buffers,0,60,-2930.0,255425145.0
32,4,42,46,256,2730,2048,heap_buffers,1,60,-15179.0,256213686.0
32,2,42,11,256,2730,3754,heap_buffers,10,60,-951.0,257496596.0
32,6,43,50,256,1024,2048,heap_buffers,9,90,-3319.0,258669806.0
32,5,42,46,256,2730,2048,heap_buffers,1,60,-2713.0,259793149.0
32,4,42,57,256,2730,2048,heap_buffers,1,60,-1311.0,261060194.0
64,16,26,19,2048,1024,2730,offheap_objects,13,40,-1153.0,262383439.0
32,4,40,44,256,2389,2048,heap_buffers,3,60,-1862.0,263573710.0
32,4,42,47,256,2730,2048,heap_buffers,1,60,-2805.0,264774725.0
32,4,42,46,256,2048,2048,heap_buffers,1,60,-1484.0,265990159.0
32,4,42,46,256,2730,2048,heap_buffers,2,60,-1341.0,267259719.0
32,4,42,46,256,2730,2048,heap_buffers,1,40,-1351.0,268467201.0
32,4,47,46,256,2730,2048,heap_buffers,1,60,-660.0,269826422.0
32,4,42,46,256,2730,2048,heap_buffers,1,70,-2971.0,271012411.0
32,4,44,46,256,2730,2048,heap_buffers,1,60,-1822.0,272207800.0
32,4,43,46,256,2730,2048,heap_buffers,1,60,-1694.0,273481232.0
32,4,42,46,256,2730,2048,heap_buffers,1,80,-1112.0,274799164.0
32,4,42,46,256,3072,2048,heap_buffers,1,60,-1598.0,275988704.0
32,4,42,46,256,2730,2389,heap_buffers,1,60,-1234.0,277302390.0
64,4,42,46,256,2730,2048,offheap_buffers,1,60,-689.0,278591236.0
16,16,18,14,2048,3754,1365,offheap_objects,16,90,-8548.0,279604409.0
32,4,42,46,256,2730,2048,heap_buffers,1,50,-1384.0,280913007.0
64,4,42,47,256,2730,2048,heap_buffers,1,60,-1982.0,282143749.0
16,16,62,9,512,4096,2389,offheap_objects,16,90,-1434.0,283421997.0
32,4,42,46,512,2730,2048,heap_buffers,1,60,-1796.0,284615446.0
16,10,8,12,1024,1024,3072,heap_buffers,16,40,-2859.0,285843642.0
32,6,35,13,512,1706,3072,heap_buffers,2,80,-694.0,287219643.0
32,4,42,46,256,2730,1706,heap_buffers,1,60,-1042.0,288541554.0
16,16,18,14,1024,3754,1365,offheap_objects,16,90,-1725.0,289856600.0
16,4,42,46,256,3413,2048,heap_buffers,1,60,-1029.0,291177446.0
16,10,42,17,2048,3072,2730,offheap_buffers,16,40,-1807.0,292420405.0
16,10,13,13,2048,1706,1706,offheap_objects,16,70,-2023.0,293702299.0
32,6,42,46,256,2730,2048,heap_buffers,1,60,-1542.0,294944148.0
16,14,12,22,1024,1024,3413,heap_buffers,13,30,-1369.0,296256408.0
64,4,42,46,2048,2730,2048,heap_buffers,1,60,-2697.0,297530124.0
16,16,21,14,2048,3754,1365,offheap_objects,16,90,-1908.0,298828004.0
16,7,8,12,2048,2048,3072,heap_buffers,16,30,-1627.0,300071823.0
16,7,8,12,2048,1024,3072,offheap_objects,16,40,-1934.0,301306933.0
16,15,16,15,2048,3413,1024,offheap_objects,16,60,-1581.0,302582107.0
16,7,17,14,2048,2730,1024,heap_buffers,16,80,-1417.0,303911606.0
32,4,42,46,2048,2730,2048,heap_buffers,1,60,-1317.0,305263950.0
32,11,51,17,512,1706,1365,offheap_buffers,1,40,-1470.0,306585284.0
64,7,43,60,1024,3754,3413,heap_buffers,0,60,-1244.0,307863288.0
32,4,42,46,256,2389,2048,heap_buffers,1,60,-1472.0,309182590.0
16,16,18,14,2048,3754,1365,heap_buffers,16,90,-1797.0,310398341.0
16,7,15,12,1024,1024,3072,heap_buffers,16,40,-1261.0,311689363.0
16,9,8,12,1024,1024,3072,heap_buffers,16,40,-1127.0,313017204.0
32,4,42,46,256,2730,2048,offheap_objects,1,60,-2493.0,314249685.0
64,4,42,46,256,2730,2048,heap_buffers,1,80,-2035.0,315449378.0
16,16,19,14,2048,3754,1365,offheap_objects,16,90,-1708.0,316771834.0
16,16,18,14,2048,3754,1706,offheap_objects,16,90,-1241.0,318079210.0
16,7,8,22,1024,1024,3072,heap_buffers,16,40,-12760.0,319142521.0
16,7,8,22,1024,1024,3072,heap_buffers,16,20,-2132.0,320336771.0
16,7,8,24,512,1024,2389,offheap_buffers,16,90,-1501.0,321596520.0
16,7,9,21,2048,1024,3413,heap_buffers,16,60,-14348.0,322412119.0
16,7,8,22,1024,1024,3413,heap_buffers,16,40,-1908.0,323658248.0
16,7,9,21,2048,1024,3754,heap_buffers,16,60,-1608.0,324957729.0
16,7,9,21,2048,1024,3413,heap_buffers,16,40,-1814.0,326192194.0
16,7,10,21,2048,1024,3413,heap_buffers,16,60,-899.0,327548866.0
16,7,9,21,2048,1024,2730,heap_buffers,16,60,-1529.0,328815770.0
16,7,9,21,2048,1024,3072,heap_buffers,16,60,-1402.0,330117876.0
16,7,8,22,1024,1024,3072,heap_buffers,16,60,-1989.0,331317601.0
16,7,9,21,2048,1024,3413,heap_buffers,16,70,-634.0,332674172.0
16,7,9,21,2048,1024,3413,heap_buffers,16,50,-1119.0,333978418.0
16,8,9,21,2048,1024,3413,heap_buffers,16,60,-1761.0,335282164.0
16,7,9,21,2048,1024,3413,offheap_buffers,16,60,-1220.0,336593960.0
16,7,9,21,1024,1024,3413,heap_buffers,16,60,-1006.0,337918407.0
16,7,9,21,2048,1365,3413,heap_buffers,16,60,-2087.0,339107394.0
16,7,9,22,2048,1024,3413,heap_buffers,16,60,-1005.0,340409524.0
16,7,8,33,1024,1024,3072,heap_buffers,16,40,-1319.0,341704316.0
16,9,9,21,2048,1024,3413,heap_buffers,16,60,-953.0,343021876.0
16,7,8,22,1024,1365,3072,heap_buffers,16,40,-1264.0,344291969.0
16,7,8,23,1024,1024,3072,heap_buffers,16,40,-1537.0,345529439.0
16,7,8,22,256,1024,3072,heap_buffers,16,40,-911.0,346870868.0
16,7,9,21,2048,1024,3413,offheap_objects,16,60,-1587.0,348118550.0
16,7,9,21,2048,1706,3413,heap_buffers,16,60,-1011.0,349429464.0
32,3,17,14,1024,2048,3754,offheap_objects,7,70,-1094.0,350715349.0
16,2,29,52,256,2730,2048,heap_buffers,11,90,-1852.0,351963010.0
16,7,8,22,1024,1024,2389,heap_buffers,16,40,-6535,353081980.0
16,12,62,50,1024,1706,2048,offheap_objects,6,40,-8381,353226846.0
32,7,9,21,2048,1024,3413,heap_buffers,16,60,-10328,353943694.0
16,7,8,22,1024,1024,2389,heap_buffers,16,40,-7815,354080654.0
64,12,40,31,512,3072,3413,heap_buffers,0,10,-8276,355208277.0
16,7,8,22,2048,1024,3072,heap_buffers,16,40,-9991,355026398.0
64,7,9,21,2048,1024,3413,heap_buffers,16,60,-7418,356153962.0
16,7,8,22,1024,1024,2730,heap_buffers,16,40,-6528,356298609.0
16,7,8,22,1024,1024,2730,heap_buffers,16,40,-7214,357431145.0
32,7,9,21,2048,1024,3413,heap_buffers,16,60,-7679,357573502.0
16,7,8,22,1024,1024,3072,heap_buffers,16,30,-7458,358701873.0
32,7,8,22,1024,1024,3072,heap_buffers,16,40,-9998,358850677.0
16,7,9,21,2048,1024,4096,heap_buffers,16,60,-16149,359981429.0
