compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
64,6,22,57,1024,3072,1365,heap_buffers,5,60,-1579.0,288408376.0
64,6,22,57,512,3072,1024,heap_buffers,5,90,-771.0,291620499.0
64,6,22,57,1024,3072,1024,heap_buffers,6,90,-1163.0,294754112.0
64,6,22,57,1024,2389,1365,heap_buffers,5,90,-862.0,297922036.0
64,6,22,57,256,3072,2048,heap_buffers,5,90,-1336.0,300834769.0
32,10,23,21,512,4096,3072,offheap_buffers,3,100,-678.0,303962794.0
64,7,22,57,1024,3072,1024,heap_buffers,5,90,-1567.0,306864858.0
64,6,22,58,1024,3072,1365,heap_buffers,5,90,-553.0,309994961.0
64,6,22,57,1024,3072,1365,heap_buffers,7,90,-5901.0,312533689.0
64,6,22,57,256,3072,1365,heap_buffers,9,90,-1558.0,315486352.0
64,6,22,57,1024,3072,1365,heap_buffers,5,70,-1189.0,318558918.0
64,6,30,57,256,3072,1365,heap_buffers,5,90,-1162.0,321622438.0
64,6,22,57,256,3072,1024,heap_buffers,6,90,-1865.0,324582745.0
64,6,22,57,1024,3072,1365,heap_buffers,8,90,-1294.0,327647397.0
64,6,26,57,1024,3072,1365,heap_buffers,5,90,-1357.0,330731685.0
64,6,22,57,512,3072,1365,heap_buffers,6,90,-1311.0,333807151.0
64,5,31,57,512,1706,1024,heap_buffers,3,100,-1447.0,336868237.0
64,6,22,57,2048,3072,1365,heap_buffers,6,90,-1362.0,339933613.0
64,6,22,57,256,3072,1706,heap_buffers,6,90,-1394.0,343001373.0
16,7,30,11,512,4096,1024,offheap_objects,3,40,-1421.0,346063238.0
64,6,22,57,2048,3072,1024,heap_buffers,5,90,-1332.0,349141019.0
64,6,22,57,1024,3072,1365,offheap_buffers,5,90,-1294.0,352202579.0
64,6,22,57,1024,3072,1024,heap_buffers,5,100,-1377.0,355293365.0
64,6,22,57,256,3754,1365,heap_buffers,5,90,-1349.0,358366073.0
64,13,15,51,1024,1024,2389,offheap_buffers,3,60,-1401.0,361456813.0
64,6,22,58,512,3072,1365,heap_buffers,7,90,-1344.0,364539269.0
64,9,22,57,256,3072,1365,heap_buffers,5,90,-1500.0,367601132.0
64,6,24,57,1024,3072,1365,heap_buffers,5,90,-1412.0,370683238.0
32,11,46,36,512,1024,2730,offheap_objects,15,100,-1473.0,373774814.0
64,6,22,57,1024,3072,1365,heap_buffers,9,90,-1529.0,376821706.0
64,6,22,57,1024,3072,2048,heap_buffers,5,90,-1600.0,379909399.0
64,6,22,58,256,2389,1365,heap_buffers,7,90,-3372.0,382781256.0
64,6,22,64,256,3072,1365,heap_buffers,7,90,-2939.0,385656628.0
32,12,25,8,512,2730,4096,heap_buffers,5,20,-1499.0,388734768.0
16,12,9,41,2048,1706,4096,heap_buffers,2,0,-1444.0,391820486.0
64,6,16,34,256,3072,1365,heap_buffers,4,90,-1549.0,394891487.0
64,6,26,58,256,3072,1365,heap_buffers,7,90,-1444.0,397966729.0
64,6,22,62,256,3072,1365,heap_buffers,7,90,-1534.0,401042784.0
16,6,22,58,256,3072,1365,heap_buffers,7,90,-1498.0,404106542.0
64,7,22,58,256,3072,1365,heap_buffers,7,90,-1661.0,407084349.0
32,6,22,57,256,3072,1365,heap_buffers,7,90,-1445.0,410147206.0
64,6,22,57,1024,2730,1365,heap_buffers,5,90,-1532.0,413230538.0
64,6,22,57,1024,3072,1706,heap_buffers,6,90,-1548.0,416307794.0
64,6,22,58,256,3072,1706,heap_buffers,7,90,-1506.0,419377565.0
64,6,22,58,256,3072,1365,heap_buffers,7,100,-1388.0,422471974.0
64,6,22,61,256,3072,1365,heap_buffers,7,90,-1462.0,425493011.0
64,8,22,57,256,3072,1365,heap_buffers,5,90,-1577.0,428545829.0
64,6,22,58,256,3072,1024,heap_buffers,7,90,-1494.0,431627178.0
64,6,25,57,256,3072,1365,heap_buffers,5,90,-1571.0,434660089.0
64,6,22,57,256,3072,1365,heap_buffers,7,100,-1473.0,437747286.0
64,6,22,58,256,3072,1365,heap_buffers,7,60,-1502.0,440824149.0
64,6,22,58,256,3072,1365,heap_buffers,8,90,-1457.0,443885372.0
64,6,22,57,1024,3072,1365,heap_buffers,5,80,-1490.0,446962815.0
64,6,22,57,1024,3413,1365,heap_buffers,7,90,-1488.0,450042330.0
64,6,22,58,256,3072,1365,heap_buffers,7,80,-1454.0,453130507.0
32,6,22,58,256,3072,1365,heap_buffers,7,90,-1583.0,456116414.0
64,6,23,58,256,3072,1365,heap_buffers,7,90,-1392.0,459202809.0
64,6,22,58,256,3072,1365,heap_buffers,6,90,-1456.0,462303703.0
64,6,22,58,256,3413,1365,heap_buffers,7,90,-1371.0,465375982.0
64,9,22,58,256,3072,1365,heap_buffers,7,90,-1567.0,468398187.0
64,6,22,60,1024,3072,1365,heap_buffers,5,90,-1328.0,471482059.0
64,6,22,58,256,3072,1365,offheap_buffers,7,90,-1376.0,474559062.0
64,6,22,58,256,3072,2048,heap_buffers,7,90,-1499.0,477609933.0
16,8,44,14,256,4096,3413,offheap_buffers,9,60,-1391.0,480687084.0
16,8,55,14,256,4096,3413,offheap_buffers,7,50,-1497.0,483733815.0
64,6,22,59,256,3072,1365,heap_buffers,7,90,-1360.0,486816490.0
64,6,22,58,256,3072,1365,heap_buffers,10,90,-1373.0,489910961.0
16,9,57,64,2048,2730,1024,offheap_buffers,9,40,-1368.0,492988200.0
16,16,18,17,512,1365,1024,heap_buffers,8,80,-1377.0,496071654.0
64,12,50,16,256,3072,1706,heap_buffers,4,60,-1491.0,499056378.0
64,5,31,37,2048,1706,1365,heap_buffers,0,10,-1329.0,502138121.0
32,11,18,9,512,2389,1024,heap_buffers,6,60,-1444.0,505194142.0
64,6,22,58,256,2730,1365,heap_buffers,7,90,-1406.0,508242210.0
32,6,33,17,2048,3754,1365,offheap_buffers,0,70,-1354.0,511304816.0
16,7,44,14,256,4096,3413,offheap_buffers,10,60,-1338.0,514386286.0
16,4,20,47,2048,1365,1706,heap_buffers,0,70,-1429.0,517377843.0
64,6,25,57,1024,3072,1024,heap_buffers,5,90,-1362.0,520451009.0
64,6,22,58,256,3072,1024,heap_buffers,6,90,-1381.0,523498196.0
64,6,22,57,1024,3413,1024,heap_buffers,5,90,-1252.0,526581226.0
16,7,49,14,256,4096,3413,offheap_buffers,9,60,-1197.0,529685727.0
16,16,59,25,1024,1024,2389,heap_buffers,4,70,-1240.0,532765197.0
64,7,22,57,1024,3072,1365,heap_buffers,5,90,-1252.0,535856525.0
64,6,22,57,256,3072,2389,heap_buffers,5,90,-1248.0,538881924.0
64,6,25,57,1024,3072,1365,heap_buffers,6,90,-1259.0,541965203.0
16,7,44,14,512,4096,3413,offheap_buffers,9,60,-1272.0,545060873.0
64,6,22,57,1024,3072,1365,offheap_objects,5,90,-1234.0,548151615.0
16,7,44,14,256,4096,3413,offheap_objects,9,60,-1320.0,551156300.0
16,11,30,35,256,3072,4096,offheap_objects,11,50,-1174.0,554242198.0
32,5,57,28,256,2048,1706,heap_buffers,0,40,-1243.0,557327278.0
32,6,37,48,2048,1365,2389,heap_buffers,0,80,-1356.0,560368806.0
32,6,41,43,2048,3072,2389,heap_buffers,1,50,-1162.0,563452441.0
32,6,43,43,2048,2048,1706,heap_buffers,0,70,-2087.0,566340223.0
64,6,25,57,512,3072,1365,heap_buffers,5,90,0.0,566392885.0
16,7,44,14,256,4096,3413,offheap_buffers,9,50,-1966.0,569457723.0
32,6,34,43,256,1365,1706,heap_buffers,0,70,-1989.0,572518468.0
64,6,22,57,512,3072,1365,heap_buffers,7,90,-2614.0,575454613.0
64,6,22,57,1024,3072,1365,heap_buffers,7,100,-1840.0,578505290.0
