compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,9,52,25,2048,3413,3413,offheap_buffers,4,10,-337,327031495.0
16,7,52,25,2048,3413,3413,offheap_buffers,4,20,-713,328250053.0
16,7,50,25,2048,3413,3413,offheap_buffers,4,10,-528,329457300.0
32,3,64,21,1024,2730,1365,heap_buffers,14,50,-400,330687336.0
16,7,52,25,2048,3413,3413,offheap_objects,4,10,-619,331893081.0
16,7,54,25,2048,3413,3413,offheap_buffers,4,10,-311,333114436.0
32,7,52,25,2048,3413,3413,offheap_buffers,4,10,-560,334351264.0
16,7,52,25,2048,3413,3754,offheap_buffers,4,10,-329,335575650.0
16,7,45,25,1024,4096,3413,heap_buffers,4,10,-240,336803449.0
16,7,52,25,2048,3413,3413,offheap_buffers,6,10,-569,338052440.0
16,7,52,25,2048,3072,3413,offheap_buffers,4,10,-358,339296633.0
16,8,52,25,2048,3413,3413,offheap_buffers,4,10,-245,340532029.0
64,7,52,25,2048,3413,3413,offheap_buffers,4,10,-568,341692087.0
16,7,45,23,512,4096,3413,offheap_buffers,4,10,-341,342923020.0
16,7,45,25,1024,4096,4096,offheap_buffers,4,10,-326,344258945.0
16,8,37,14,256,3754,3413,heap_buffers,9,100,-508,345463856.0
16,7,45,25,1024,4096,3413,offheap_buffers,4,40,-258,346689768.0
16,7,45,25,2048,4096,2730,offheap_buffers,4,40,-214,347932450.0
16,7,45,27,1024,4096,3413,offheap_buffers,4,10,-376,349173144.0
16,7,45,25,512,3413,4096,offheap_buffers,4,10,-303,350407164.0
16,7,52,25,2048,3413,2730,offheap_buffers,4,10,-301,351668380.0
16,10,45,25,2048,4096,3413,offheap_buffers,4,10,-532,352917983.0
16,7,45,29,2048,4096,3413,offheap_buffers,4,10,-493,354123941.0
16,7,45,25,2048,4096,2730,offheap_buffers,6,10,-404,355364278.0
64,14,47,18,256,3413,4096,offheap_objects,1,80,-617,356573953.0
16,7,45,25,1024,3072,3413,offheap_buffers,4,10,-256,357797600.0
64,7,45,25,2048,4096,2730,offheap_buffers,4,10,-248,359051302.0
16,10,45,25,2048,4096,2730,offheap_buffers,4,10,-585,360263606.0
16,7,52,25,2048,3413,3413,offheap_buffers,4,30,-426,361495265.0
16,7,45,25,512,3413,3413,offheap_buffers,4,0,-660,362697649.0
16,7,52,25,2048,2730,3413,offheap_buffers,4,10,-294,363936294.0
16,7,45,25,2048,3413,2730,offheap_buffers,5,10,-2454,365012314.0
16,7,45,25,2048,4096,3413,offheap_buffers,6,10,-529,366246797.0
16,7,45,25,2048,4096,2730,offheap_buffers,5,10,-428,367461563.0
16,7,45,25,2048,3413,2048,offheap_buffers,5,10,-514,368663869.0
64,16,62,48,1024,1024,2389,heap_buffers,6,100,-199,369902129.0
32,15,53,49,2048,3072,1024,offheap_buffers,3,70,-330,371138324.0
16,7,45,25,1024,2730,3413,offheap_buffers,4,10,-309,372380660.0
16,7,45,26,1024,4096,3413,offheap_buffers,4,10,-300,373620424.0
16,7,45,25,512,3413,2730,offheap_buffers,5,10,-242,374892708.0
